Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TGSRTC - 4322,Super Luxury (Non AC Seater 2+2 Push Back),19:45,08:00,12h 15m,INR 442,31 Seats available,"4.6
29",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1254,Super Luxury (Non AC Seater 2+2 Push Back),20:10,08:30,12h 20m,INR 442,27 Seats available,"4.2
41",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1252,Super Luxury (Non AC Seater 2+2 Push Back),20:15,08:30,12h 15m,INR 442,31 Seats available,"4.0
38",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1280,Super Luxury (Non AC Seater 2+2 Push Back),20:45,08:00,11h 15m,INR 442,31 Seats available,"3.8
51",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1045,Rajdhani (AC Semi Sleeper 2+2),21:30,08:30,11h 00m,INR 491,28 Seats available,"4.0
5",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1256,Super Luxury (Non AC Seater 2+2 Push Back),21:45,08:35,10h 50m,INR 442,30 Seats available,"4.5
83",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1286,Super Luxury (Non AC Seater 2+2 Push Back),22:30,08:30,10h 00m,INR 442,29 Seats available,"3.8
121",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,441,3 Seats available,"4.7
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 600,7 Seats available,"3.5
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
RRR Travels,A/C Sleeper (2+1),23:50,05:30,05h 40m,855,18 Seats available,"4.7
39",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
