Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:45,07:55,12h 10m,INR 600,23 Seats available,"4.6
591",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),19:25,09:40,14h 15m,INR 500,20 Seats available,"4.3
787",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 920,21 Seats available,"4.0
308",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdShreyash Travels,Bharat Benz A/C Sleeper (2+1),19:45,08:30,12h 45m,841,10 Seats available,"3.6
277",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),18:05,09:00,14h 55m,INR 900,14 Seats available,"4.3
680",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:00,08:50,12h 50m,INR 600,39 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:20,10:45,13h 25m,INR 1050,19 Seats available,"4.1
495",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),19:30,09:00,13h 30m,INR 1001,18 Seats available,"4.2
327",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:40,10:00,13h 20m,INR 999,19 Seats available,"4.0
375",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,NON A/C Sleeper (2+1),19:30,09:45,14h 15m,INR 699,11 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,10:00,13h 00m,INR 900,15 Seats available,"4.4
688",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),20:17,07:02,10h 45m,INR 900,5 Seats available,"4.6
774",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Prasanna - Purple Bus,VE A/C Sleeper (2+1),18:00,05:00,11h 00m,INR 970,12 Seats available,"4.2
269",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),18:30,06:30,12h 00m,INR 1001,9 Seats available,"4.0
264",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),21:15,07:45,10h 30m,INR 900,5 Seats available,"4.6
666",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),18:00,05:25,11h 25m,INR 1009,5 Seats available,"4.4
392",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:15,07:30,11h 15m,INR 905,10 Seats available,"4.1
282",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Sangitam Travels Tanzanite,A/C Sleeper (2+1),19:30,07:30,12h 00m,INR 857,10 Seats available,"4.4
699",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Amrutyog Travels,A/C Sleeper (2+1),20:00,07:22,11h 22m,INR 900,21 Seats available,"4.2
314",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:00,06:45,11h 45m,INR 600,4 Seats available,"4.5
649",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Kadamba Transport Corporation Limited (KTCL) - 141293,Volvo AC Seater 2+2,19:45,08:15,12h 30m,INR 800,23 Seats available,"3.7
245",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Rajat Travels,A/C Seater / Sleeper (2+1),18:40,10:30,15h 50m,720,14 Seats available,"4.0
55",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Sunrise Tours and Travels,Bharat Benz A/C Sleeper (2+1),17:50,08:45,14h 55m,INR 1099,8 Seats available,"4.2
218",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
AdStreamline tours and travels,Bharat Benz A/C Sleeper (2+1),21:00,11:30,14h 30m,999,20 Seats available,"3.7
208",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
